title,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"Killing Sarai (In the Company of Killers, #1)","Killing Sarai (In the Company of Killers, #1)","The Edge of Never (The Edge of Never, #1)","On Dublin Street (On Dublin Street, #1)","Sins & Needles (The Artists Trilogy, #1)","Fallen Too Far (Rosemary Beach, #1; Too Far, #1)","Reasonable Doubt: Volume 1 (Reasonable Doubt, #1)","Captive in the Dark (The Dark Duet, #1)","Real (Real, #1)","Bully (Fall Away, #1)",Archer's Voice,"Undeniable (Undeniable, #1)","The Secret of Ella and Micha (The Secret, #1)","Ten Tiny Breaths (Ten Tiny Breaths, #1)","Sempre (Sempre, #1)","Hopeless (Hopeless, #1)"
Kindred,Kindred,Station Eleven,The Handmaid's Tale,Between the World and Me,To Kill a Mockingbird,Beloved,Homegoing,The Ocean at the End of the Lane,Their Eyes Were Watching God,Brave New World,The Martian,"The Fifth Season (The Broken Earth, #1)",Americanah,Never Let Me Go,The Immortal Life of Henrietta Lacks
Kindred Spirits,Kindred Spirits,Fangirl,Landline,Carry On,Attachments,Eleanor & Park,Simon vs. the Homo Sapiens Agenda,"Isla and the Happily Ever After (Anna and the French Kiss, #3)","Anna and the French Kiss (Anna and the French Kiss, #1)","Everything, Everything","Lola and the Boy Next Door (Anna and the French Kiss, #2)",A Monster Calls,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Nimona,Paper Towns
"King (King, #1)","King (King, #1)","Tyrant (King, #2)","Lawless (King, #3)","It Ain't Me, Babe (Hades Hangmen, #1)","Raze (Scarred Souls, #1)",Stepbrother Dearest,"Real (Real, #1)","Raw (RAW Family, #1)","Vicious (Sinners of Saint, #1)","Reaper's Property (Reapers MC, #1)","Lick (Stage Dive, #1)","Wrong (Wrong, #1)",Sparrow,Archer's Voice,Stuck-Up Suit
King Lear,King Lear,Othello,The Tempest,The Merchant of Venice,Hamlet,Macbeth,The Taming of the Shrew,Twelfth Night,A Midsummer Night's Dream,Julius Caesar,Much Ado About Nothing,As You Like It,Romeo and Juliet,Great Expectations,Gulliver's Travels
"King's Cage (Red Queen, #3)","King's Cage (Red Queen, #3)","Glass Sword (Red Queen, #2)","Red Queen (Red Queen, #1)","Empire of Storms (Throne of Glass, #5)","The Selection (The Selection, #1)","Queen of Shadows (Throne of Glass, #4)","The One (The Selection, #3)","The Elite (The Selection, #2)","Heir of Fire (Throne of Glass, #3)","Crown of Midnight (Throne of Glass, #2)","Throne of Glass (Throne of Glass, #1)","A Court of Wings and Ruin (A Court of Thorns and Roses, #3)","A Court of Mist and Fury (A Court of Thorns and Roses, #2)","A Court of Thorns and Roses (A Court of Thorns and Roses, #1)","The Heir (The Selection, #4)"
"Kings Rising (Captive Prince, #3)","Kings Rising (Captive Prince, #3)","Captive Prince (Captive Prince, #1)","Captive Prince: Volume Two (Captive Prince, #2)",The Song of Achilles,"The Raven King (The Raven Cycle, #4)","The Dream Thieves (The Raven Cycle, #2)","Strong Signal (Cyberlove, #1)",Carry On,"Blue Lily, Lily Blue (The Raven Cycle, #3)","The Raven Boys (The Raven Cycle, #1)",Simon vs. the Homo Sapiens Agenda,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)","Cut & Run (Cut & Run, #1)","Six of Crows (Six of Crows, #1)","A Court of Mist and Fury (A Court of Thorns and Roses, #2)"
Kiss an Angel,Kiss an Angel,"It Had to Be You (Chicago Stars, #1)",Mr. Perfect,Bet Me,Just the Sexiest Man Alive,"The Bride (Lairds' Fiancées, #1)","Blue-Eyed Devil (Travises, #2)","Something About You (FBI/US Attorney, #1)","The Duke and I (Bridgertons, #1)","Mine Till Midnight (The Hathaways, #1)","Devil in Winter (Wallflowers, #3)","The Viscount Who Loved Me (Bridgertons, #2)","Love in the Afternoon (The Hathaways, #5)","Seduce Me at Sunrise (The Hathaways, #2)","Secrets of a Summer Night (Wallflowers, #1)"
"Kiss of Crimson (Midnight Breed, #2)","Kiss of Crimson (Midnight Breed, #2)","Midnight Awakening (Midnight Breed, #3)","Kiss of Midnight (Midnight Breed,  #1)","Lover Avenged (Black Dagger Brotherhood, #7)","Lover Eternal (Black Dagger Brotherhood, #2)","Lover Revealed (Black Dagger Brotherhood, #4)","Lover Awakened (Black Dagger Brotherhood, #3)","Lover Unbound (Black Dagger Brotherhood, #5)","Lover Enshrined (Black Dagger Brotherhood, #6)","Dark Lover (Black Dagger Brotherhood, #1)",The Darkest Night (Lords of the Underworld #1),No Rest for the Wicked (Immortals After Dark #3),Dark Needs at Night's Edge (Immortals After Dark #5),"First Drop of Crimson (Night Huntress World, #1)","Father Mine (Black Dagger Brotherhood, #6.5)"
"Kiss of Midnight (Midnight Breed,  #1)","Kiss of Midnight (Midnight Breed,  #1)","Kiss of Crimson (Midnight Breed, #2)","Midnight Awakening (Midnight Breed, #3)","Lover Avenged (Black Dagger Brotherhood, #7)","Lover Awakened (Black Dagger Brotherhood, #3)","Lover Eternal (Black Dagger Brotherhood, #2)","Lover Revealed (Black Dagger Brotherhood, #4)","Lover Unbound (Black Dagger Brotherhood, #5)","Dark Lover (Black Dagger Brotherhood, #1)",A Hunger Like No Other (Immortals After Dark #2),"Lover Mine (Black Dagger Brotherhood, #8)","Lover Enshrined (Black Dagger Brotherhood, #6)",Dark Needs at Night's Edge (Immortals After Dark #5),The Darkest Night (Lords of the Underworld #1),"First Drop of Crimson (Night Huntress World, #1)"
Kiss of a Demon King (Immortals After Dark #7),Kiss of a Demon King (Immortals After Dark #7),Dark Desires After Dusk (Immortals After Dark #6),Dark Needs at Night's Edge (Immortals After Dark #5),No Rest for the Wicked (Immortals After Dark #3),Wicked Deeds on a Winter's Night (Immortals After Dark #4),A Hunger Like No Other (Immortals After Dark #2),The Warlord Wants Forever (Immortals After Dark #1),The Darkest Night (Lords of the Underworld #1),"Pleasure Unbound (Demonica, #1)",The Darkest Kiss (Lords of the Underworld #2),Desire Unchained (Demonica #2),"Hostage to Pleasure (Psy-Changeling, #5)","Kiss of Midnight (Midnight Breed,  #1)",Caressed by Ice (Psy-Changeling #3),"Beyond the Highland Mist (Highlander, #1)"
"Kiss of the Highlander (Highlander, #4)","Kiss of the Highlander (Highlander, #4)","Beyond the Highland Mist (Highlander, #1)","Dreamfever (Fever, #4)","Faefever (Fever, #3)","Bloodfever (Fever, #2)","Shadowfever (Fever, #5)","Darkfever (Fever, #1)",Wicked Deeds on a Winter's Night (Immortals After Dark #4),Dark Needs at Night's Edge (Immortals After Dark #5),A Hunger Like No Other (Immortals After Dark #2),No Rest for the Wicked (Immortals After Dark #3),Dark Desires After Dusk (Immortals After Dark #6),"Kiss of Crimson (Midnight Breed, #2)","Lover Awakened (Black Dagger Brotherhood, #3)","Dark Lover (Black Dagger Brotherhood, #1)"
"Kiss the Girls (Alex Cross, #2)","Kiss the Girls (Alex Cross, #2)","Along Came a Spider (Alex Cross, #1)","1st to Die (Women's Murder Club, #1)","2nd Chance (Women's Murder Club, #2)","3rd Degree (Women's Murder Club, #3)",A Time to Kill,The Beach House,"The Bone Collector (Lincoln Rhyme, #1)","Postmortem (Kay Scarpetta, #1)","The Silence of the Lambs  (Hannibal Lecter, #2)",The Client,The Pelican Brief,"The Firm (Penguin Readers, Level 5)","Killing Floor (Jack Reacher, #1)","The Surgeon (Rizzoli & Isles, #1)"
"Kiss the Sky (Calloway Sisters, #1; Addicted, #2.1)","Kiss the Sky (Calloway Sisters, #1; Addicted, #2.1)","Addicted to You (Addicted, #1)","The Mistake (Off-Campus, #2)","The Deal (Off-Campus, #1)","The Score (Off-Campus, #3)","Wait for You (Wait for You, #1)",Scoring Wilder,"Point of Retreat (Slammed, #2)","Tangled (Tangled, #1)","Slammed (Slammed, #1)",The Sea of Tranquility,Ugly Love,"Maybe Someday (Maybe, #1)","Paper Princess (The Royals, #1)","Bully (Fall Away, #1)"
Kitchen Confidential: Adventures in the Culinary Underbelly,Kitchen Confidential: Adventures in the Culinary Underbelly,Dress Your Family in Corduroy and Denim,Naked,"Where'd You Go, Bernadette",Me Talk Pretty One Day,Life After Life,Midnight in the Garden of Good and Evil,Middlesex,Bossypants,"The Girl with the Dragon Tattoo (Millennium, #1)",A Walk in the Woods,The Handmaid's Tale,The Year of Magical Thinking,The Curious Incident of the Dog in the Night-Time,In Cold Blood
Kitty and the Midnight Hour (Kitty Norville #1),Kitty and the Midnight Hour (Kitty Norville #1),"River Marked (Mercy Thompson, #6)","Blood Bound (Mercy Thompson, #2)","Bone Crossed (Mercy Thompson, #4)","Silver Borne (Mercy Thompson, #5)","Moon Called (Mercy Thompson, #1)","Skinwalker (Jane Yellowrock, #1)","The Good, the Bad, and the Undead (The Hollows, #2)","Spider's Bite (Elemental Assassin, #1)","Iron Kissed (Mercy Thompson, #3)","Cry Wolf (Alpha & Omega, #1)","Dead Witch Walking (The Hollows, #1)","Every Which Way But Dead (The Hollows, #3)","Hunting Ground (Alpha & Omega, #2)","A Fistful of Charms (The Hollows, #4)"
"Knight (Unfinished Hero, #1)","Knight (Unfinished Hero, #1)","Raid (Unfinished Hero, #3)","Creed (Unfinished Hero, #2)","Deacon (Unfinished Hero, #4)","Motorcycle Man (Dream Man, #4)","Sweet Dreams (Colorado Mountain, #2)","Mystery Man (Dream Man, #1)","The Gamble (Colorado Mountain, #1)","Lady Luck (Colorado Mountain, #3)","Law Man (Dream Man, #3)","Breathe (Colorado Mountain, #4)","Own the Wind (Chaos, #1)","At Peace (The 'Burg, #2)","Rock Chick Rescue (Rock Chick, #2)","Wild Man (Dream Man, #2)"
Kulti,Kulti,The Wall of Winnipeg and Me,Under Locke,"The Hooker and the Hermit (Rugby, #1)","The Deal (Off-Campus, #1)","The Hook Up (Game On, #1)","The Mistake (Off-Campus, #2)","Truth or Beard (Winston Brothers, #1)","Neanderthal Seeks Human (Knitting in the City, #1)","Lick (Stage Dive, #1)","Play (Stage Dive, #2)","Bully (Fall Away, #1)","The Friend Zone (Game On, #2)","The Game Plan (Game On, #3)","The Will (Magdalene, #1)"
"Kushiel's Dart (Phèdre's Trilogy, #1)","Kushiel's Dart (Phèdre's Trilogy, #1)","The Lies of Locke Lamora (Gentleman Bastard, #1)","Magic Bites (Kate Daniels, #1)","Magic Burns (Kate Daniels, #2)","The Way of Shadows (Night Angel, #1)","Assassin's Apprentice (Farseer Trilogy, #1)","Soulless (Parasol Protectorate, #1)","The Name of the Wind (The Kingkiller Chronicle, #1)","Magic Strikes (Kate Daniels, #3)","Wizard's First Rule (Sword of Truth, #1)","Blood Bound (Mercy Thompson, #2)","Magic Bleeds (Kate Daniels, #4)","Moon Called (Mercy Thompson, #1)","Storm Front (The Dresden Files, #1)","The Wise Man's Fear (The Kingkiller Chronicle, #2)"
Lady Chatterley's Lover,Lady Chatterley's Lover,The Age of Innocence,Madame Bovary,The Remains of the Day,A Passage to India,Wuthering Heights,Mrs. Dalloway,The Bell Jar,Tess of the D'Urbervilles,To the Lighthouse,The Woman in White,Love in the Time of Cholera,Far from the Madding Crowd,Breakfast at Tiffany's,Doctor Zhivago
"Lady Luck (Colorado Mountain, #3)","Lady Luck (Colorado Mountain, #3)","Sweet Dreams (Colorado Mountain, #2)","Breathe (Colorado Mountain, #4)","The Gamble (Colorado Mountain, #1)","Jagged (Colorado Mountain, #5)","Raid (Unfinished Hero, #3)","Rock Chick Renegade (Rock Chick, #4)","Rock Chick Rescue (Rock Chick, #2)","Motorcycle Man (Dream Man, #4)","Wild Man (Dream Man, #2)","Rock Chick Redemption (Rock Chick, #3)","At Peace (The 'Burg, #2)","Fire Inside (Chaos, #2)","Law Man (Dream Man, #3)","Rock Chick Regret (Rock Chick, #7)"
"Lady Midnight (The Dark Artifices, #1)","Lady Midnight (The Dark Artifices, #1)","Lord of Shadows (The Dark Artifices, #2)","City of Heavenly Fire (The Mortal Instruments, #6)","City of Lost Souls (The Mortal Instruments, #5)","Clockwork Princess (The Infernal Devices, #3)","Clockwork Prince (The Infernal Devices, #2)","City of Fallen Angels (The Mortal Instruments, #4)","Clockwork Angel (The Infernal Devices, #1)","City of Glass (The Mortal Instruments, #3)","City of Ashes (The Mortal Instruments, #2)","Welcome to Shadowhunter Academy (Tales from the Shadowhunter Academy, #1)",The Bane Chronicles,"City of Bones (The Mortal Instruments, #1)","The Lost Herondale (Tales from the Shadowhunter Academy, #2)",Tales from the Shadowhunter Academy
Lady Susan,Lady Susan,Mansfield Park,Emma,Northanger Abbey,Persuasion,Agnes Grey,Sense and Sensibility,Pride and Prejudice,Far from the Madding Crowd,The Tenant of Wildfell Hall,Jane Eyre,The Importance of Being Earnest,Villette,The Age of Innocence,A Study in Scarlet
"Lamb: The Gospel According to Biff, Christ's Childhood Pal","Lamb: The Gospel According to Biff, Christ's Childhood Pal","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Anansi Boys,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Slaughterhouse-Five,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",The Stand,"American Gods (American Gods, #1)",Life of Pi,"The Gunslinger (The Dark Tower, #1)",Cat's Cradle,"The Eyre Affair (Thursday Next, #1)",Neverwhere,"Interview with the Vampire (The Vampire Chronicles, #1)",11/22/63
Landline,Landline,Attachments,Fangirl,Eleanor & Park,Carry On,"Lola and the Boy Next Door (Anna and the French Kiss, #2)","Everything, Everything","Anna and the French Kiss (Anna and the French Kiss, #1)",The Fault in Our Stars,We Were Liars,"Isla and the Happily Ever After (Anna and the French Kiss, #3)",Looking for Alaska,Kindred Spirits,Paper Towns,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)"
"Last Sacrifice (Vampire Academy, #6)","Last Sacrifice (Vampire Academy, #6)","Spirit Bound (Vampire Academy, #5)","Blood Promise (Vampire Academy, #4)","Shadow Kiss (Vampire Academy, #3)","Frostbite (Vampire Academy, #2)","Vampire Academy (Vampire Academy, #1)","Bloodlines (Bloodlines, #1)","The Golden Lily (Bloodlines, #2)","The Indigo Spell (Bloodlines, #3)","The Fiery Heart (Bloodlines, #4)","Silver Shadows (Bloodlines, #5)","The Ruby Circle (Bloodlines, #6)","City of Ashes (The Mortal Instruments, #2)","City of Glass (The Mortal Instruments, #3)","City of Bones (The Mortal Instruments, #1)"
"Law Man (Dream Man, #3)","Law Man (Dream Man, #3)","Wild Man (Dream Man, #2)","Motorcycle Man (Dream Man, #4)","Mystery Man (Dream Man, #1)","Sweet Dreams (Colorado Mountain, #2)","Own the Wind (Chaos, #1)","Fire Inside (Chaos, #2)","Lady Luck (Colorado Mountain, #3)","Rock Chick Renegade (Rock Chick, #4)","Rock Chick Redemption (Rock Chick, #3)","Rock Chick Reckoning (Rock Chick, #6)","Rock Chick Rescue (Rock Chick, #2)","Rock Chick Regret (Rock Chick, #7)","The Gamble (Colorado Mountain, #1)","Creed (Unfinished Hero, #2)"
"Lawless (King, #3)","Lawless (King, #3)","Tyrant (King, #2)","King (King, #1)","It Ain't Me, Babe (Hades Hangmen, #1)","Raze (Scarred Souls, #1)",All the Rage,"Vicious (Sinners of Saint, #1)","Reaper's Legacy (Reapers MC, #2)","Real (Real, #1)","Reaper's Property (Reapers MC, #1)","Devil's Game (Reapers MC, #3)","Raw (RAW Family, #1)",Stepbrother Dearest,"Reaper's Stand (Reapers MC, #4)",Sparrow
"Lead (Stage Dive, #3)","Lead (Stage Dive, #3)","Play (Stage Dive, #2)","Deep (Stage Dive, #4)","Lick (Stage Dive, #1)","Dirty (Dive Bar, #1)","Rule (Marked Men, #1)","Real (Real, #1)","On Dublin Street (On Dublin Street, #1)","The Deal (Off-Campus, #1)","The Hook Up (Game On, #1)","Tangled (Tangled, #1)","Wallbanger (Cocktail, #1)","Fallen Too Far (Rosemary Beach, #1; Too Far, #1)","The Mistake (Off-Campus, #2)","Own the Wind (Chaos, #1)"
"Lean Mean Thirteen (Stephanie Plum, #13)","Lean Mean Thirteen (Stephanie Plum, #13)","Twelve Sharp (Stephanie Plum, #12)","Eleven on Top (Stephanie Plum, #11)","To the Nines (Stephanie Plum, #9)","Fearless Fourteen (Stephanie Plum, #14)","Ten Big Ones (Stephanie Plum, #10)","Seven Up (Stephanie Plum, #7)","Finger Lickin' Fifteen (Stephanie Plum, #15)","Hard Eight (Stephanie Plum, #8)","Hot Six (Stephanie Plum, #6)","High Five (Stephanie Plum, #5)","Four to Score (Stephanie Plum, #4)","Sizzling Sixteen (Stephanie Plum, #16)","Three to Get Deadly (Stephanie Plum, #3)","Explosive Eighteen (Stephanie Plum, #18)"
Leaving Time,Leaving Time,The Storyteller,Small Great Things,Nineteen Minutes,Plain Truth,House Rules,Sarah's Key,The Light Between Oceans,My Sister's Keeper,Big Little Lies,The Husband's Secret,The Tenth Circle,The Nightingale,Orphan Train,The Invention of Wings
"Legend (Legend, #1)","Legend (Legend, #1)","Prodigy (Legend, #2)","Champion (Legend, #3)","Shatter Me (Shatter Me, #1)","Divergent (Divergent, #1)","Insurgent (Divergent, #2)","Cinder (The Lunar Chronicles, #1)","City of Bones (The Mortal Instruments, #1)","Throne of Glass (Throne of Glass, #1)","The Young Elites (The Young Elites, #1)","The Darkest Minds (The Darkest Minds, #1)","Unravel Me (Shatter Me, #2)","Scarlet (The Lunar Chronicles, #2)","City of Ashes (The Mortal Instruments, #2)","City of Glass (The Mortal Instruments, #3)"
Leo,Leo,Stinger,Archer's Voice,"Real (Real, #1)","On Dublin Street (On Dublin Street, #1)","In Flight (Up in the Air, #1)","Ruin (Ruin, #1)","Sweet Home (Sweet Home, #1)","Fallen Too Far (Rosemary Beach, #1; Too Far, #1)","Collide (Collide, #1)","Axel (Corps Security, #1)","Pulse (Collide, #2)","Bully (Fall Away, #1)",Stepbrother Dearest,"Falling into You (Falling, #1)"
Les Misérables,Les Misérables,A Tale of Two Cities,The Hunchback of Notre-Dame,The Count of Monte Cristo,Jane Eyre,The Adventures of Huckleberry Finn,Great Expectations,Anna Karenina,Romeo and Juliet,Wuthering Heights,To Kill a Mockingbird,David Copperfield,War and Peace,The Three Musketeers,Frankenstein
Let It Snow: Three Holiday Romances,Let It Snow: Three Holiday Romances,An Abundance of Katherines,Paper Towns,"Will Grayson, Will Grayson","Dash & Lily's Book of Dares (Dash & Lily, #1)",Looking for Alaska,"Lola and the Boy Next Door (Anna and the French Kiss, #2)","13 Little Blue Envelopes (Little Blue Envelope, #1)",My True Love Gave to Me: Twelve Holiday Stories,Fangirl,"Anna and the French Kiss (Anna and the French Kiss, #1)","Isla and the Happily Ever After (Anna and the French Kiss, #3)",Amy & Roger's Epic Detour,Eleanor & Park,We Were Liars
Let the Right One In,Let the Right One In,The Haunting of Hill House,Dracula,'Salem's Lot,Misery,Heart-Shaped Box,The Shining (The Shining #1),It,"Darkly Dreaming Dexter (Dexter, #1)",Horns,Pet Sematary,"Red Dragon (Hannibal Lecter, #1)",Different Seasons,"Interview with the Vampire (The Vampire Chronicles, #1)",We Have Always Lived in the Castle
Let's Pretend This Never Happened: A Mostly True Memoir,Let's Pretend This Never Happened: A Mostly True Memoir,Furiously Happy: A Funny Book About Horrible Things,Is Everyone Hanging Out Without Me? (And Other Concerns),Bossypants,"Where'd You Go, Bernadette",Brain on Fire: My Month of Madness,Yes Please,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Big Little Lies,Me Talk Pretty One Day,The Immortal Life of Henrietta Lacks,The Ocean at the End of the Lane,The Help,Gone Girl,Water for Elephants
"Leviathan (Leviathan, #1)","Leviathan (Leviathan, #1)","Pretties (Uglies, #2)","Uglies (Uglies, #1)","Graceling (Graceling Realm, #1)","Ender's Game (Ender's Saga, #1)","White Cat (Curse Workers, #1)","Incarceron (Incarceron, #1)",The Graveyard Book,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)","The Hunger Games (The Hunger Games, #1)","Tithe (Modern Faerie Tales, #1)","Specials (Uglies, #3)","Artemis Fowl (Artemis Fowl, #1)",Stardust,"The Giver (The Giver, #1)"
"Leviathan Wakes (The Expanse, #1)","Leviathan Wakes (The Expanse, #1)","Hyperion (Hyperion Cantos, #1)","Old Man's War (Old Man's War, #1)",Ancillary Justice (Imperial Radch #1),"The Lies of Locke Lamora (Gentleman Bastard, #1)",Snow Crash,"Lock In (Lock In, #1)","The Fifth Season (The Broken Earth, #1)",Redshirts,"Annihilation (Southern Reach, #1)","Red Seas Under Red Skies (Gentleman Bastard, #2)",Neuromancer,"Assassin's Apprentice (Farseer Trilogy, #1)","Ender's Game (Ender's Saga, #1)","The Name of the Wind (The Kingkiller Chronicle, #1)"
"Library of Souls (Miss Peregrine's Peculiar Children, #3)","Library of Souls (Miss Peregrine's Peculiar Children, #3)","Hollow City (Miss Peregrine’s Peculiar Children, #2)","Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)","Harry Potter and the Chamber of Secrets (Harry Potter, #2)","The Blood of Olympus (The Heroes of Olympus, #5)","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","Winter (The Lunar Chronicles, #4)","Harry Potter and the Goblet of Fire (Harry Potter, #4)","The Lightning Thief (Percy Jackson and the Olympians, #1)",The Book Thief,"Scarlet (The Lunar Chronicles, #2)","Harry Potter and the Half-Blood Prince (Harry Potter, #6)","Cress (The Lunar Chronicles, #3)","Harry Potter and the Order of the Phoenix (Harry Potter, #5)","Cinder (The Lunar Chronicles, #1)"
"Lick (Stage Dive, #1)","Lick (Stage Dive, #1)","Play (Stage Dive, #2)","Lead (Stage Dive, #3)","Deep (Stage Dive, #4)","Real (Real, #1)","Rule (Marked Men, #1)","On Dublin Street (On Dublin Street, #1)","Fallen Too Far (Rosemary Beach, #1; Too Far, #1)","The Mighty Storm (The Storm, #1)","Wallbanger (Cocktail, #1)","Tangled (Tangled, #1)","Dirty (Dive Bar, #1)","Never Too Far (Rosemary Beach, #2; Too Far, #2)","Reaper's Property (Reapers MC, #1)","Axel (Corps Security, #1)"
Life After Life,Life After Life,The Guernsey Literary and Potato Peel Pie Society,Station Eleven,"Where'd You Go, Bernadette",The Goldfinch,All the Light We Cannot See,The Handmaid's Tale,Beautiful Ruins,The Light Between Oceans,Gone Girl,Fates and Furies,The Girl on the Train,The Curious Incident of the Dog in the Night-Time,The Paying Guests,The Sense of an Ending
"Life As We Knew It (Last Survivors, #1)","Life As We Knew It (Last Survivors, #1)","Unwind (Unwind, #1)","Gone (Gone, #1)","Matched (Matched, #1)","Uglies (Uglies, #1)","The Giver (The Giver, #1)",Speak,Before I Fall,Elsewhere,"The 5th Wave (The 5th Wave, #1)","Divergent (Divergent, #1)",Wintergirls,"Delirium (Delirium, #1)","Catching Fire (The Hunger Games, #2)","Blood Red Road (Dust Lands, #1)"
Life of Pi,Life of Pi,The Kite Runner,To Kill a Mockingbird,The Great Gatsby,The Handmaid's Tale,Lord of the Flies,The Curious Incident of the Dog in the Night-Time,Animal Farm,1984,Of Mice and Men,The Catcher in the Rye,The Book Thief,Fahrenheit 451,The Time Traveler's Wife,"The Girl with the Dragon Tattoo (Millennium, #1)"
Lightning,Lightning,Watchers,Strangers,"Odd Thomas (Odd Thomas, #1)",Dreamcatcher,Bag of Bones,The Stand,The Tommyknockers,The Dark Half,Cell,Insomnia,The Dead Zone,It,Duma Key,Pet Sematary
Like Water for Chocolate,Like Water for Chocolate,The Joy Luck Club,The House of the Spirits,Memoirs of a Geisha,Fried Green Tomatoes at the Whistle Stop Cafe,One Hundred Years of Solitude,The Color Purple,The Poisonwood Bible,The Shipping News,The Thorn Birds,Beloved,Love in the Time of Cholera,To Kill a Mockingbird,The World According to Garp,Rebecca
Lincoln in the Bardo,Lincoln in the Bardo,Exit West,A Gentleman in Moscow,Our Souls at Night,The Underground Railroad,My Name Is Lucy Barton,A Visit from the Goon Squad,The Sense of an Ending,The Brief Wondrous Life of Oscar Wao,Fates and Furies,Commonwealth,Station Eleven,A Tale for the Time Being,All the Light We Cannot See,Life After Life
"Linger (The Wolves of Mercy Falls, #2)","Linger (The Wolves of Mercy Falls, #2)","Forever (The Wolves of Mercy Falls, #3)","Shiver (The Wolves of Mercy Falls, #1)","Hush, Hush (Hush, Hush, #1)","Fallen (Fallen, #1)","Crescendo (Hush, Hush, #2)","Beautiful Creatures (Caster Chronicles, #1)","The Iron King (The Iron Fey, #1)","Vampire Academy (Vampire Academy, #1)","Shadow Kiss (Vampire Academy, #3)","City of Bones (The Mortal Instruments, #1)","Frostbite (Vampire Academy, #2)","Blood Promise (Vampire Academy, #4)","Last Sacrifice (Vampire Academy, #6)","Spirit Bound (Vampire Academy, #5)"
"Lirael (Abhorsen, #2)","Lirael (Abhorsen, #2)","Sabriel (Abhorsen,  #1)","Alanna: The First Adventure (Song of the Lioness, #1)","The Golden Compass (His Dark Materials, #1)","The Subtle Knife (His Dark Materials, #2)","Howl's Moving Castle (Howl's Moving Castle, #1)","The Amber Spyglass (His Dark Materials, #3)",The Graveyard Book,Uprooted,"Graceling (Graceling Realm, #1)",The Hobbit,"A Wizard of Earthsea (Earthsea Cycle, #1)","The Fellowship of the Ring (The Lord of the Rings, #1)","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","The Tombs of Atuan (Earthsea Cycle, #2)"
Little Bee,Little Bee,Snow Flower and the Secret Fan,Cutting for Stone,Hotel on the Corner of Bitter and Sweet,The Secret Life of Bees,Sarah's Key,Major Pettigrew's Last Stand,The Paris Wife,Rules of Civility,The Kitchen House,The Guernsey Literary and Potato Peel Pie Society,The Glass Castle,The Poisonwood Bible,Still Alice,Water for Elephants
"Little House in the Big Woods (Little House, #1)","Little House in the Big Woods (Little House, #1)","Little House on the Prairie (Little House, #2)",Charlotte's Web,"Anne of Green Gables (Anne of Green Gables, #1)",The Witch of Blackbird Pond,The Secret Garden,A Little Princess,"Anne of Avonlea (Anne of Green Gables, #2)","Island of the Blue Dolphins (Island of the Blue Dolphins, #1)","Anne of the Island (Anne of Green Gables, #3)","Winnie-the-Pooh (Winnie-the-Pooh, #1)",Heidi,"Are You There God? It's Me, Margaret","Little Women (Little Women, #1)",Stuart Little
"Little House on the Prairie (Little House, #2)","Little House on the Prairie (Little House, #2)","Little House in the Big Woods (Little House, #1)",Charlotte's Web,"Anne of Green Gables (Anne of Green Gables, #1)",The Witch of Blackbird Pond,The Secret Garden,Green Eggs and Ham,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",A Little Princess,"Winnie-the-Pooh (Winnie-the-Pooh, #1)","Little Women (Little Women, #1)","Anne of Avonlea (Anne of Green Gables, #2)","Anne of the Island (Anne of Green Gables, #3)","Are You There God? It's Me, Margaret","Island of the Blue Dolphins (Island of the Blue Dolphins, #1)"
Little Women,Little Women,Pride and Prejudice,Sense and Sensibility,The Secret Garden,Persuasion,Jane Eyre,Emma,The Bell Jar,Wuthering Heights,Northanger Abbey,The Great Gatsby,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",A Christmas Carol,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",A Little Princess
"Little Women (Little Women, #1)","Little Women (Little Women, #1)",Pride and Prejudice,Jane Eyre,The Diary of a Young Girl,Romeo and Juliet,The Secret Garden,To Kill a Mockingbird,Sense and Sensibility,"Anne of Green Gables (Anne of Green Gables, #1)",Gone with the Wind,Wuthering Heights,Charlotte's Web,The Adventures of Huckleberry Finn,The Great Gatsby,The Hobbit
